complaint_text,complaint_type,language,anger_score,days_pending,repeat_count,escalation_label,x,y,DBSCAN_Cluster,KMeans_Cluster,Risk Score,Risk Level,Root Cause
"color mismatch in my order, very upset",color_mismatch,english,0.63,0,3,1,0.3937367188796189,-0.6687577691426547,0,0,46,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.67,7,2,0,3.966911999619658,-0.268436093168843,1,3,57,High,Supplier quality issue suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.54,7,1,0,3.4291791620191963,0.2884144815009377,1,3,46,Medium,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.45,8,3,1,0.3937367188796189,-0.6687577691426547,0,0,53,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.8,2,3,1,-1.1929884771589887,1.3139764086581622,3,1,59,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.79,3,3,1,0.2390009075012779,0.7527417882998685,0,4,60,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,18,4,1,-1.1929884771589887,1.3139764086581622,3,1,100,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.48,3,3,1,-0.3911203663377927,-0.935641499841797,0,0,45,Medium,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.94,3,1,1,-1.5922467003701688,-2.1694284101938868,2,2,58,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.86,2,4,1,3.429179190843084,0.2884144875879759,1,3,67,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,22,4,1,-1.7836398170721757,2.381926407704887,3,1,103,Critical,Payment gateway or bank processing delay
"saree color was red online but received pink, cheating",color_mismatch,english,0.57,2,4,1,0.2390009075012779,0.7527417882998685,0,4,52,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,1,2,1,-1.1929884771589887,1.3139764086581622,3,1,57,High,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.92,21,2,1,-1.5922467003701688,-2.1694284101938868,2,2,98,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.43,3,3,1,0.3937367188796189,-0.6687577691426547,0,0,42,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.84,10,4,1,3.966911999619658,-0.268436093168843,1,3,82,Critical,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.88,7,3,1,-1.7836398170721757,2.381926407704887,3,1,73,High,Isolated complaint - no systemic cause
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.8,17,4,1,-1.1929884771589887,1.3139764086581622,3,1,94,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.68,5,3,1,3.429179190843084,0.2884144875879759,1,3,59,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,4,2,0,-1.7836398170721757,2.381926407704887,3,1,55,High,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.42,10,3,1,0.2390009075012779,0.7527417882998685,0,4,56,High,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,22,2,1,-1.1929884771589887,1.3139764086581622,3,1,94,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.57,4,3,1,3.429179190843084,0.2884144875879759,1,3,51,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.4,4,4,1,-0.3911203663377927,-0.935641499841797,0,0,48,Medium,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,1,1,0,-1.1929884771589887,1.3139764086581622,3,1,43,Medium,Isolated complaint - no systemic cause
"saree color was red online but received pink, cheating",color_mismatch,english,0.43,2,3,1,0.2390009075012779,0.7527417882998685,0,4,40,Medium,Seller product listing fraud suspected
"return request ignored completely, no one responding",return_not_picked,english,0.88,16,2,1,-1.5922467547828327,-2.1694281828813136,2,2,86,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.95,20,2,1,-1.711371593081928,-3.4244080913301573,2,2,97,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.36,2,2,0,-0.3911203663377927,-0.935641499841797,0,0,32,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.87,5,2,1,3.4291789371217094,0.288414405497268,1,3,63,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.34,6,1,0,-0.3911203663377927,-0.935641499841797,0,0,34,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.62,3,4,1,0.2390009075012779,0.7527417882998685,0,4,57,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.5,5,4,1,-0.3911203663377927,-0.935641499841797,0,0,55,High,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.73,4,3,1,0.3937367188796189,-0.6687577691426547,0,0,59,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.9,12,3,1,-1.7836398170721757,2.381926407704887,3,1,84,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,10,2,0,3.966911999619658,-0.268436093168843,1,3,60,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,20,3,1,-1.1929884771589887,1.3139764086581622,3,1,100,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.95,17,3,1,-1.7836398170721757,2.381926407704887,3,1,96,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.57,10,4,1,3.966911999619658,-0.268436093168843,1,3,68,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,8,3,1,3.966911999619658,-0.268436093168843,1,3,65,High,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.63,10,4,1,0.3937367188796189,-0.6687577691426547,0,0,71,High,Seller product listing fraud suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.38,8,4,1,-0.3911203663377927,-0.935641499841797,0,0,55,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.7,24,1,0,-1.711371593081928,-3.4244080913301573,2,2,88,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.54,6,3,1,3.429179190843084,0.2884144875879759,1,3,54,High,Supplier quality issue suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.66,22,2,0,-1.711371593081928,-3.4244080913301573,2,2,87,Critical,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.5,0,1,0,-0.3911203663377927,-0.935641499841797,0,0,30,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.5,0,4,1,0.2390009075012779,0.7527417882998685,0,4,45,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.6,8,2,0,3.966911999619658,-0.268436093168843,1,3,56,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,20,2,1,-1.1929884771589887,1.3139764086581622,3,1,98,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.85,0,2,1,3.966911999619658,-0.268436093168843,1,3,52,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.89,17,3,1,-1.1929884771589887,1.3139764086581622,3,1,93,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.91,4,4,1,-1.1929884771589887,1.3139764086581622,3,1,73,High,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.85,7,1,1,3.4291789371217094,0.288414405497268,1,3,61,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.88,7,1,1,-1.1929884771589887,1.3139764086581622,3,1,63,High,Isolated complaint - no systemic cause
"color mismatch in my order, very upset",color_mismatch,english,0.54,6,4,1,0.3937367188796189,-0.6687577691426547,0,0,59,High,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.43,7,3,1,-1.357461773663346,2.7296125988696343,3,1,50,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.85,0,1,1,3.429179190843084,0.2884144875879759,1,3,47,Medium,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.76,22,3,1,-1.5922467547828327,-2.1694281828813136,2,2,97,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.84,11,3,1,-1.5922467547828327,-2.1694281828813136,2,2,79,Critical,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.64,22,2,0,-1.5922467547828327,-2.1694281828813136,2,2,86,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.79,16,4,1,-1.7836398170721757,2.381926407704887,3,1,91,Critical,Payment gateway or bank processing delay
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.74,9,4,1,-1.711371593081928,-3.4244080913301573,2,2,75,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.6,0,4,1,3.4291789371217094,0.288414405497268,1,3,50,High,Supplier quality issue suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.72,2,1,0,3.966911999619658,-0.268436093168843,1,3,45,Medium,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.49,2,1,0,0.2390009075012779,0.7527417882998685,0,4,33,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,7,1,0,3.966911999619658,-0.268436093168843,1,3,45,Medium,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.91,22,3,1,-1.5922467547828327,-2.1694281828813136,2,2,104,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.78,0,2,0,3.4291789371217094,0.288414405497268,1,3,49,Medium,Supplier quality issue suspected
"color mismatch in my order, very upset",color_mismatch,english,0.71,4,3,1,0.3937367188796189,-0.6687577691426547,0,0,58,High,Seller product listing fraud suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.83,10,3,1,-1.7836398170721757,2.381926407704887,3,1,76,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.64,18,2,0,-1.5922467547828327,-2.1694281828813136,2,2,78,Critical,Courier partner failure suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.85,18,4,1,-1.711371593081928,-3.4244080913301573,2,2,98,Critical,Courier partner failure suspected
"color mismatch in my order, very upset",color_mismatch,english,0.7,5,3,1,0.3937367188796189,-0.6687577691426547,0,0,60,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.44,8,4,1,0.3937367188796189,-0.6687577691426547,0,0,58,High,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.7,3,4,1,0.2390009075012779,0.7527417882998685,0,4,61,High,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.43,1,4,1,0.3937367188796189,-0.6687577691426547,0,0,43,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.41,4,3,1,0.3937367188796189,-0.6687577691426547,0,0,43,Medium,Seller product listing fraud suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.35,5,4,1,-1.357461773663346,2.7296125988696343,3,1,47,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.87,8,2,1,-1.7836398170721757,2.381926407704887,3,1,69,High,Isolated complaint - no systemic cause
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.75,14,3,1,-1.7836398170721757,2.381926407704887,3,1,80,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.7,22,3,1,-1.1929884771589887,1.3139764086581622,3,1,94,Critical,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.82,8,4,1,-1.5922467547828327,-2.1694281828813136,2,2,77,Critical,Courier partner failure suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.72,6,1,0,3.4291789371217094,0.288414405497268,1,3,53,High,Supplier quality issue suspected
"return request ignored completely, no one responding",return_not_picked,english,0.93,17,1,1,-1.5922467547828327,-2.1694281828813136,2,2,85,Critical,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,22,1,1,-1.711371593081928,-3.4244080913301573,2,2,93,Critical,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.61,1,1,0,-1.357461773663346,2.7296125988696343,3,1,37,Medium,Warehouse packing error suspected
"color mismatch in my order, very upset",color_mismatch,english,0.42,6,2,0,0.3937367188796189,-0.6687577691426547,0,0,43,Medium,Seller product listing fraud suspected
"color mismatch in my order, very upset",color_mismatch,english,0.74,1,1,0,0.3937367188796189,-0.6687577691426547,0,0,44,Medium,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.77,9,4,1,3.966911999619658,-0.268436093168843,1,3,76,Critical,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,13,2,0,-1.7836398170721757,2.381926407704887,3,1,72,High,Payment gateway or bank processing delay
"return request ignored completely, no one responding",return_not_picked,english,0.87,25,2,1,-1.5922467547828327,-2.1694281828813136,2,2,103,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.74,11,3,1,-1.7836398170721757,2.381926407704887,3,1,74,High,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,8,4,1,-1.7836398741369313,2.381926538334328,3,1,83,Critical,Isolated complaint - no systemic cause
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.55,10,4,1,3.966911999619658,-0.268436093168843,1,3,67,High,Supplier quality issue suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.61,9,1,0,-1.357461773663346,2.7296125988696343,3,1,53,High,Warehouse packing error suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.8,4,2,0,-1.711371593081928,-3.4244080913301573,2,2,58,High,Courier partner failure suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.56,4,2,0,-0.3911203663377927,-0.935641499841797,0,0,46,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.61,0,3,1,3.429179190843084,0.2884144875879759,1,3,45,Medium,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,4,4,1,-1.1929884771589887,1.3139764086581622,3,1,76,Critical,Isolated complaint - no systemic cause
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.81,2,1,0,-1.711371593081928,-3.4244080913301573,2,2,49,Medium,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.35,0,3,1,-1.357461773663346,2.7296125988696343,3,1,32,Medium,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.89,5,4,1,3.429179190843084,0.2884144875879759,1,3,74,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.42,1,1,0,-0.3911203663377927,-0.935641499841797,0,0,28,Low,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.94,18,1,1,-1.1929884771589887,1.3139764086581622,3,1,88,Critical,Payment gateway or bank processing delay
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.97,9,4,1,-1.1929884771589887,1.3139764086581622,3,1,86,Critical,Isolated complaint - no systemic cause
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.48,9,1,0,-1.357461773663346,2.7296125988696343,3,1,47,Medium,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.32,1,4,1,-1.357461773663346,2.7296125988696343,3,1,38,Medium,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.81,15,1,1,-1.1929884771589887,1.3139764086581622,3,1,75,Critical,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.48,8,4,1,-1.357461773663346,2.7296125988696343,3,1,60,High,Warehouse packing error suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.69,2,4,1,-0.3911203663377927,-0.935641499841797,0,0,58,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.43,7,3,1,-1.357461773663346,2.7296125988696343,3,1,50,High,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.39,0,3,1,-1.357461773663346,2.7296125988696343,3,1,34,Medium,Warehouse packing error suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.69,1,4,1,3.966911999619658,-0.268436093168843,1,3,56,High,Supplier quality issue suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,16,2,1,-1.7836398170721757,2.381926407704887,3,1,89,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.72,6,2,0,3.429179190843084,0.2884144875879759,1,3,58,High,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.73,3,1,0,0.2390009075012779,0.7527417882998685,0,4,47,Medium,Seller product listing fraud suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.65,7,4,1,0.2390009075012779,0.7527417882998685,0,4,66,High,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.78,20,3,1,-1.711371593081928,-3.4244080913301573,2,2,94,Critical,Courier partner failure suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.85,3,1,1,-1.7836398170721757,2.381926407704887,3,1,53,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.68,9,2,0,-0.3911203663377927,-0.935641499841797,0,0,62,High,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.72,20,1,0,-1.7836398170721757,2.381926407704887,3,1,81,Critical,Payment gateway or bank processing delay
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.53,9,3,1,3.966911999619658,-0.268436093168843,1,3,59,High,Supplier quality issue suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.55,2,2,0,0.2390009075012779,0.7527417882998685,0,4,41,Medium,Seller product listing fraud suspected
courier not coming for pickup despite multiple complaints,return_not_picked,english,0.88,23,1,1,-1.711371593081928,-3.4244080913301573,2,2,95,Critical,Isolated complaint - no systemic cause
"return request ignored completely, no one responding",return_not_picked,english,0.91,24,1,1,-1.5922467547828327,-2.1694281828813136,2,2,98,Critical,Isolated complaint - no systemic cause
"fabric is rough and fake, returning immediately",fake_fabric,english,0.8,4,1,0,3.429179190843084,0.2884144875879759,1,3,53,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.84,14,4,1,-1.1929884771589887,1.3139764086581622,3,1,90,Critical,Payment gateway or bank processing delay
"saree color was red online but received pink, cheating",color_mismatch,english,0.74,8,4,1,0.2390009075012779,0.7527417882998685,0,4,73,High,Seller product listing fraud suspected
"fabric feels fake and uncomfortable, not cotton at all",fake_fabric,english,0.56,1,4,1,3.966911999619658,-0.268436093168843,1,3,50,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.9,13,2,1,-1.1929884771589887,1.3139764086581622,3,1,81,Critical,Payment gateway or bank processing delay
"fabric is rough and fake, returning immediately",fake_fabric,english,0.6,3,4,1,3.429179190843084,0.2884144875879759,1,3,56,High,Supplier quality issue suspected
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.33,0,3,1,-0.3911203663377927,-0.935641499841797,0,0,31,Medium,Warehouse packing error suspected
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.76,12,2,1,-1.7836398170721757,2.381926407704887,3,1,72,High,Payment gateway or bank processing delay
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.55,8,3,1,-1.357461773663346,2.7296125988696343,3,1,58,High,Warehouse packing error suspected
"fabric is rough and fake, returning immediately",fake_fabric,english,0.87,9,2,1,3.429179190843084,0.2884144875879759,1,3,71,High,Supplier quality issue suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.75,14,3,1,-1.1929884771589887,1.3139764086581622,3,1,80,Critical,Payment gateway or bank processing delay
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.47,6,2,0,-0.3911203663377927,-0.935641499841797,0,0,45,Medium,Warehouse packing error suspected
"mujhe galat size mila hai, xl manga tha s aaya",wrong_size,hinglish,0.37,9,1,0,-1.357461773663346,2.7296125988696343,3,1,41,Medium,Warehouse packing error suspected
"return request ignored completely, no one responding",return_not_picked,english,0.86,6,2,1,-1.5922467547828327,-2.1694281828813136,2,2,65,High,Courier partner failure suspected
"return request ignored completely, no one responding",return_not_picked,english,0.9,14,4,1,-1.5922467547828327,-2.1694281828813136,2,2,93,Critical,Courier partner failure suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.79,23,4,1,-1.1929884771589887,1.3139764086581622,3,1,105,Critical,Payment gateway or bank processing delay
"refund nahi aaya abhi tak, fraud hai kya",refund_not_credited,hinglish,0.94,1,1,1,-1.7836398170721757,2.381926407704887,3,1,54,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.33,4,3,1,-0.3911203663377927,-0.935641499841797,0,0,39,Medium,Warehouse packing error suspected
"saree color was red online but received pink, cheating",color_mismatch,english,0.66,1,2,0,0.2390009075012779,0.7527417882998685,0,4,45,Medium,Seller product listing fraud suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.72,3,4,1,-1.1929884771589887,1.3139764086581622,3,1,62,High,Isolated complaint - no systemic cause
"ordered xl kurta but received m size, totally wrong",wrong_size,english,0.6,8,4,1,-0.3911203663377927,-0.935641499841797,0,0,66,High,Warehouse packing error suspected
"paise wapas karo, return toh ho gaya tha",refund_not_credited,hinglish,0.82,12,1,1,-1.1929884771589887,1.3139764086581622,3,1,70,High,Payment gateway or bank processing delay
